Smiles;Système de solvant;Composition;KD
CC1(C)C2CC1CCC2=C;Arizona;A;3.6864987
CC1(C)C2CC1CCC2=C;Arizona;C;3.58414575
CC1(C)C2CC1CCC2=C;Arizona;F;3.41404883
CC1(C)C2CC1CCC2=C;Arizona;H;3.15670138
CC1(C)C2CC1CCC2=C;Arizona;K;2.88490942
CC1(C)C2CC1CCC2=C;Arizona;L;2.63998945
CC1(C)C2CC1CCC2=C;Arizona;M;2.4427905
CC1(C)C2CC1CCC2=C;Arizona;N;2.25942728
CC1(C)C2CC1CCC2=C;Arizona;P;2.08815818
CC1(C)C2CC1CCC2=C;Arizona;Q;1.93977981
CC1(C)C2CC1CCC2=C;Arizona;R;1.72842523
CC1(C)C2CC1CCC2=C;Arizona;T;1.53055408
CC1(C)C2CC1CCC2=C;Arizona;V;1.28352675
CC1(C)C2CC1CCC2=C;Arizona;X;1.00842568
CC1(C)C2CC1CCC2=C;Arizona;Z;0.5829602
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;7_0_3;4.08405181
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;6,5_0,5_3;3.73144089
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;6_1_3;3.39615317
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;5,5_1,5_3;3.0760398
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;5_2_3;2.77069785
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;4,5_2,5_3;2.48033365
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;4_3_3;2.20436747
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;3,5_3,5_3;1.94068565
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;3_4_3;1.6852658
CC1(C)C2CC1CCC2=C;ButylAcetate Ethanol Water;2,5_4,5_3;1.43177507
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;7_0_3;4.31041741
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;6,5_0,5_3;3.96319367
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;6_1_3;3.62678953
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;5,5_1,5_3;3.28904105
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;5_2_3;2.94147337
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;4,5_2,5_3;2.57750785
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;4_3_3;2.18973275
CC1(C)C2CC1CCC2=C;CPME Ethanol Water;3,5_3,5_3;1.76726176
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;5_0_5;3.01465473
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;4,8_0,2_5;2.90159213
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;4,6_0,4_5;2.78425575
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;4,4_0,6_5;2.66195231
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;4,2_0,8_5;2.53388516
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;4_1_5;2.39907727
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;3,8_1,2_5;2.25627512
CC1(C)C2CC1CCC2=C;1-Butanol AceticAcid Water;3,6_1,4_5;2.10381618
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;5_0_5;4.20158116
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;4,5_0,5_5;3.94771717
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;4_1_5;3.69785552
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;3,5_1,5_5;3.44669746
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;3_2_5;3.17917442
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;2,5_2,5_5;2.67936023
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;2_3_5;2.34055931
CC1(C)C2CC1CCC2=C;MtBE Acetonitrile Water;1,5_3,5_5;1.99587527
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_0_5;0.70027497
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_0,5_4,5;0.72395312
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_1_4;0.7420849
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_1,5_3,5;0.75652351
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_2_3;0.76870618
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_2,5_2,5;0.77949082
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_3_2;0.78895555
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_3,5_1,5;0.79724303
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_4_1;0.80175994
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_4,5_0,5;0.80343633
CC1(C)C2CC1CCC2=C;Heptane Acetonitrile Methanol;5_5_0;0.8022706
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;5_0_5;3.01465473
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;4,5_0,5_5;3.03807499
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;4_1_5;3.07264528
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;3,5_1,5_5;3.11575458
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;3_2_5;3.16519428
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;2,5_2,5_5;3.21967858
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;2_3_5;3.27865282
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;1,5_3,5_5;3.34194844
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;1_4_5;3.40952653
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;0,5_4,5_5;3.48157845
CC1(C)C2CC1CCC2=C;1-Butanol EthylAcetate Water;0_5_5;3.55907216
CC1(C)C2CC1CCC2=C;HEMWat;A;3.68649863
CC1(C)C2CC1CCC2=C;HEMWat;C;3.42832287
CC1(C)C2CC1CCC2=C;HEMWat;H;3.06057633
CC1(C)C2CC1CCC2=C;HEMWat;K;2.81613634
CC1(C)C2CC1CCC2=C;HEMWat;L;2.58078476
CC1(C)C2CC1CCC2=C;HEMWat;M;2.35940596
CC1(C)C2CC1CCC2=C;HEMWat;N;2.15855589
CC1(C)C2CC1CCC2=C;HEMWat;P;2.08604341
CC1(C)C2CC1CCC2=C;HEMWat;Q;1.9368179
CC1(C)C2CC1CCC2=C;HEMWat;R;1.76003057
CC1(C)C2CC1CCC2=C;HEMWat;T;1.51983724
CC1(C)C2CC1CCC2=C;HEMWat;X;1.12003776
CC1(C)C2CC1CCC2=C;HEMWat;Z;0.84023368
CC1(C)C2CC1CCC2=C;Arizona Ethanol;A;3.56259607
CC1(C)C2CC1CCC2=C;Arizona Ethanol;B;3.4912887
CC1(C)C2CC1CCC2=C;Arizona Ethanol;C;3.40592545
CC1(C)C2CC1CCC2=C;Arizona Ethanol;D;3.31959193
CC1(C)C2CC1CCC2=C;Arizona Ethanol;F;3.2622147
CC1(C)C2CC1CCC2=C;Arizona Ethanol;G;3.17115723
CC1(C)C2CC1CCC2=C;Arizona Ethanol;H;3.03249384
CC1(C)C2CC1CCC2=C;Arizona Ethanol;J;2.91644762
CC1(C)C2CC1CCC2=C;Arizona Ethanol;K;2.75027999
CC1(C)C2CC1CCC2=C;Arizona Ethanol;L;2.49415666
CC1(C)C2CC1CCC2=C;Arizona Ethanol;M;2.27665167
CC1(C)C2CC1CCC2=C;Arizona Ethanol;N;2.0898625
CC1(C)C2CC1CCC2=C;Arizona Ethanol;P;1.91579594
CC1(C)C2CC1CCC2=C;Arizona Ethanol;Q;1.73591986
CC1(C)C2CC1CCC2=C;Arizona Ethanol;R;1.53660518
CC1(C)C2CC1CCC2=C;Arizona Ethanol;S;1.39269235
CC1(C)C2CC1CCC2=C;Arizona Ethanol;T;1.28170121
CC1(C)C2CC1CCC2=C;Arizona Ethanol;U;1.12739601
CC1(C)C2CC1CCC2=C;Arizona Ethanol;V;1.01483483
CC1(C)C2CC1CCC2=C;Arizona Ethanol;W;0.93302824
CC1(C)C2CC1CCC2=C;Arizona Ethanol;X;0.77626305
CC1(C)C2CC1CCC2=C;Heptane Ethanol Water;9_0_1;4.27320912
CC1(C)C2CC1CCC2=C;Heptane Ethanol Water;8,5_0,5_1;3.0947425
